time,open,high,low,close
2020-01-08,15461,15620,15378,15378
2020-01-09,15418,15478,15369,15373
2020-01-10,15371,15387,15235,15274
2020-01-13,15274,15372,15208,15257
2020-01-14,15210,15263,15183,15231
2020-01-15,15200,15288,15200,15259
2020-01-16,15226,15280,15177,15205
2020-01-17,15169,15206,15130,15130
2020-01-20,15122,15153,15111,15111
2020-01-21,15115,15192,15115,15161
2020-01-22,15127,15178,15119,15139
2020-01-23,15139,15169,15055,15099
2020-01-24,15057,15079,14570,14996
2020-01-27,14994,15081,14977,15063
2020-01-28,14981,15068,14981,15028
2020-01-29,15027,15027,14958,14999
2020-01-30,14994,15132,14994,15080
2020-01-31,15074,15283,15058,15134
2020-02-03,15156,15250,15153,15171
2020-02-04,15188,15223,15107,15107
2020-02-05,15133,15154,15018,15018
2020-02-06,15031,15084,14953,15004
2020-02-07,14950,15092,14945,15030
2020-02-10,15029,15031,14878,14947
2020-02-11,14933,14949,14909,14927
2020-02-12,14906,14935,14844,14844
2020-02-13,14844,14912,14836,14843
2020-02-14,14822,14882,14822,14841
2020-02-17,14838,14844,14801,14827
2020-02-18,14782,14855,14749,14749
2020-02-19,14737,14823,14737,14818
2020-02-20,14779,14952,14779,14909
2020-02-21,14774,15012,14774,14995
2020-02-24,14939,15174,14888,15129
2020-02-25,15043,15197,15043,15186
2020-02-26,15093,15254,15078,15208
2020-02-27,15154,15591,15100,15591
2020-02-28,15432,15931,15259,15812
2020-03-02,15687,16075,15672,15672
2020-03-03,15867,16060,15714,15873
2020-03-04,15946,15955,15677,15772
2020-03-05,15709,16122,15709,16084
2020-03-06,15919,16367,15919,16128
2020-03-09,16126,16563,16126,16471
2020-03-10,16309,16320,16070,16182
2020-03-11,16287,16367,16144,16144
2020-03-12,16209,16437,16074,16219
2020-03-13,16222,16682,16108,16235
2020-03-16,16388,17009,16384,16658
2020-03-17,16555,17006,16548,16628
2020-03-18,16612,16950,16435,16850
2020-03-19,16592,17230,16592,16869
2020-03-20,16746,17469,16746,17177
2020-03-23,17419,17961,17359,17812
2020-03-24,17846,17960,17312,17769
2020-03-25,17810,17948,17422,17922
2020-03-26,17946,18023,17544,17603
2020-03-27,18021,18079,17730,18077
2020-03-30,18077,18200,18003,18015
2020-03-31,18036,18061,17792,18052
2020-04-01,18055,18443,17900,18012
2020-04-02,17967,18457,17850,17974
2020-04-03,17849,18146,17705,17750
2020-04-06,17750,18002,17680,17744
2020-04-07,17722,17908,17496,17864
2020-04-08,17870,17874,17463,17550
2020-04-09,17635,17765,17185,17398
2020-04-10,17190,17420,17175,17256
2020-04-13,17423,17423,17065,17275
2020-04-14,17210,17288,17073,17162
2020-04-15,17038,17265,16985,17183
2020-04-16,17021,17181,16945,17080
2020-04-17,17108,17146,16731,16850
2020-04-20,16850,16919,16715,16888
2020-04-21,16795,17076,16715,16979
2020-04-22,16971,17044,16675,16807
2020-04-23,16786,16894,16605,16776
2020-04-24,16835,16900,16616,16828
2020-04-27,16828,16899,16585,16878
2020-04-28,16875,16937,16574,16640
2020-04-29,16777,16791,16449,16449
2020-04-30,16758,16760,16139,16579
2020-05-01,16587,16819,16299,16638
2020-05-04,16624,16786,16387,16513
2020-05-05,16428,16516,16302,16406
2020-05-06,16365,16447,16225,16408
2020-05-07,16405,16412,16248,16377
2020-05-08,16379,16388,16141,16141
2020-05-11,16261,16261,16110,16133
2020-05-12,16160,16280,16067,16159
2020-05-13,16082,16188,16064,16071
2020-05-14,16134,16194,16015,16100
2020-05-15,16077,16156,16048,16123
2020-05-18,16126,16209,15993,16130
2020-05-19,16153,16229,16102,16183
2020-05-20,16184,16245,16095,16224
2020-05-21,16159,16226,16053,16181
2020-05-22,16181,16290,16015,16211
2020-05-25,16113,16257,16113,16173
2020-05-26,16098,16232,16086,16193
2020-05-27,16216,16315,16128,16274
2020-05-28,16243,16373,16216,16307
2020-05-29,16357,16411,16200,16362
2020-06-01,16377,16402,16044,16337
2020-06-02,16391,16450,15991,16195
2020-06-03,16202,16202,15735,16000
2020-06-04,15791,16083,15774,16053
2020-06-05,16055,16059,15675,15910
2020-06-08,15919,15930,15656,15753
2020-06-09,15808,16034,15673,15838
2020-06-10,15839,16078,15716,16034
2020-06-11,15846,16227,15750,15818
2020-06-12,15991,16078,15740,16010
2020-06-15,15922,16111,15779,15865
2020-06-16,15956,16091,15845,15951
2020-06-17,15810,16031,15810,15998
2020-06-18,15857,16000,15702,15969
2020-06-19,15819,15975,15760,15915
2020-06-22,15810,16028,15765,15996
2020-06-23,16010,16158,15954,16059
2020-06-24,16060,16073,15935,15953
2020-06-25,15975,16028,15839,15958
2020-06-26,15836,16124,15836,16109
2020-06-29,16109,16223,15970,16134
2020-06-30,16143,16273,16064,16130
2020-07-01,16136,16351,16115,16247
2020-07-02,16207,16344,16106,16139
2020-07-03,16280,16394,16255,16381
2020-07-06,16307,16454,16259,16375
2020-07-07,16448,16456,16203,16270
2020-07-08,16271,16385,16236,16318
2020-07-09,16322,16402,16195,16235
2020-07-10,16212,16405,16212,16308
2020-07-13,16310,16441,16276,16358
2020-07-14,16296,16637,16284,16458
2020-07-15,16473,16695,16473,16639
2020-07-16,16676,16770,16582,16633
2020-07-17,16633,16929,16633,16898
2020-07-20,16868,17034,16834,16910
2020-07-21,16923,16986,16816,16985
2020-07-22,16997,16997,16854,16951
2020-07-23,16893,17041,16828,17006
2020-07-24,17007,17026,16861,17026
2020-07-27,17026,17166,16958,17162
2020-07-28,17171,17178,17005,17054
2020-07-29,17038,17251,17038,17206
2020-07-30,17174,17409,17018,17376
2020-07-31,17424,17448,17243,17243
2020-08-03,17243,17336,17183,17302
2020-08-04,17289,17349,17230,17324
2020-08-05,17352,17375,17193,17345
2020-08-06,17290,17354,17272,17313
2020-08-07,17325,17361,17255,17342
2020-08-10,17250,17375,17190,17190
2020-08-11,17182,17363,17182,17303
2020-08-12,17303,17470,17268,17417
2020-08-13,17436,17608,17436,17525
2020-08-14,17523,17678,17523,17638
2020-08-17,17651,17701,17475,17699
2020-08-18,17665,17821,17591,17705
2020-08-19,17788,17800,17436,17480
2020-08-20,17442,17533,17420,17511
2020-08-21,17533,17553,17377,17415
2020-08-24,17440,17475,17233,17287
2020-08-25,17262,17458,17235,17322
2020-08-26,17286,17360,17249,17350
2020-08-27,17346,17423,17316,17318
2020-08-28,17386,17497,17275,17496
2020-08-31,17496,17512,17309,17372
2020-09-01,17396,17619,17351,17351
2020-09-02,17412,17632,17344,17544
2020-09-03,17503,17569,17461,17498
2020-09-04,17533,17549,17385,17449
2020-09-07,17451,17512,17403,17403
2020-09-08,17480,17535,17378,17378
2020-09-09,17396,17566,17396,17527
2020-09-10,17526,17822,17526,17627
2020-09-11,17582,17792,17582,17739
2020-09-14,17723,17785,17625,17645
2020-09-15,17768,17768,17573,17580
2020-09-16,17581,17613,17473,17530
2020-09-17,17534,17623,17473,17620
2020-09-18,17629,17633,17400,17435
2020-09-21,17482,17526,17260,17293
2020-09-22,17317,17416,17280,17371
2020-09-23,17297,17390,17265,17294
2020-09-24,17304,17505,17212,17463
2020-09-25,17246,17441,17185,17409
2020-09-28,17409,17448,17342,17349
2020-09-29,17368,17514,17368,17510
2020-09-30,17461,17521,17414,17480
2020-10-01,17489,17515,17393,17415
2020-10-02,17439,17512,17396,17439
2020-10-05,17436,17544,17301,17429
2020-10-06,17540,17548,17278,17278
2020-10-07,17253,17394,17253,17296
2020-10-08,17389,17392,17289,17289
2020-10-09,17346,17421,17314,17379
2020-10-12,17381,17431,17364,17413
2020-10-13,17416,17438,17275,17338
2020-10-14,17366,17386,17272,17357
2020-10-15,17296,17359,17195,17264
2020-10-16,17267,17323,17195,17296
2020-10-19,17306,17372,17243,17340
